id,name,sex
430,Cassius,m
431,Davis,m
432,Hamilton,m
433,Harve,m
434,Israel,m
435,Leander,m
436,Melville,m
437,Merle,m
438,Murray,m
439,Pleasant,m
440,Sterling,m
441,Steven,m
442,Axel,m
443,Boyd,m
444,Bryant,m
445,Clement,m
446,Erwin,m
447,Ezekiel,m
448,Foster,m
449,Frances,m
450,Geo,m
451,Houston,m
452,Issac,m
453,Jules,m
454,Larkin,m
455,Mat,m
456,Morton,m
457,Orlando,m
458,Pierce,m
459,Prince,m
460,Rollie,m
461,Rollin,m
462,Sim,m
463,Stuart,m
464,Wilburn,m
465,Bennett,m
466,Casper,m
467,Christ,m
468,Dell,m
469,Egbert,m
470,Elmo,m
471,Fay,m
472,Gabriel,m
473,Hector,m
474,Horatio,m
475,Lige,m
476,Saul,m
477,Smith,m
478,Squire,m
479,Tobe,m
480,Tommie,m
481,Wyatt,m
482,Alford,m
483,Alma,m
484,Alton,m
485,Andres,m
486,Burl,m
487,Cicero,m
488,Dean,m
489,Dorsey,m
490,Enos,m
491,Howell,m
492,Lou,m
493,Loyd,m
494,Mahlon,m
495,Nat,m
496,Omar,m
497,Oran,m
498,Parker,m
499,Raleigh,m
500,Reginald,m
501,Rubin,m
502,Seymour,m
503,Wm,m
504,Young,m
505,Benjamine,m
506,Carey,m
507,Carlton,m
508,Eldridge,m
509,Elzie,m
510,Garrett,m
511,Isham,m
512,Johnson,m
513,Larry,m
514,Logan,m
515,Merrill,m
516,Mont,m
517,Oren,m
518,Pierre,m
519,Rex,m
520,Rodney,m
521,Ted,m
522,Webster,m
523,West,m
524,Wheeler,m
525,Willam,m
526,Al,m
527,Aloysius,m
528,Alvie,m
529,Anna,m
530,Art,m
531,Augustine,m
532,Bailey,m
533,Benjaman,m
534,Beverly,m
535,Bishop,m
536,Clair,m
537,Cloyd,m
538,Coleman,m
539,Dana,m
540,Duncan,m
541,Dwight,m
542,Emile,m
543,Evert,m
544,Henderson,m
545,Hunter,m
546,Jean,m
547,Lem,m
548,Luis,m
549,Mathias,m
550,Maynard,m
551,Miguel,m
552,Mortimer,m
553,Nels,m
554,Norris,m
555,Pat,m
556,Phil,m
557,Rush,m
558,Santiago,m
559,Sol,m
560,Sydney,m
561,Thaddeus,m
562,Thornton,m
563,Tim,m
564,Travis,m
565,Truman,m
566,Watson,m
567,Webb,m
568,Wellington,m
569,Winfred,m
570,Wylie,m
571,Alec,m
572,Basil,m
573,Baxter,m
574,Bertrand,m
575,Buford,m
576,Burr,m
577,Cleveland,m
578,Colonel,m
579,Dempsey,m
580,Early,m
581,Ellsworth,m
582,Fate,m
583,Finley,m
584,Gabe,m
585,Garland,m
586,Gerald,m
587,Herschel,m
588,Hezekiah,m
589,Justus,m
590,Lindsey,m
591,Marcellus,m
592,Olaf,m
593,Olin,m
594,Pablo,m
595,Rolland,m
596,Turner,m
597,Verne,m
598,Volney,m
599,Williams,m
600,Almon,m
601,Alois,m
602,Alonza,m
603,Anson,m
604,Authur,m
605,Benton,m
606,Billie,m
607,Cornelious,m
608,Darius,m
609,Denis,m
610,Dillard,m
611,Doctor,m
612,Elvin,m
613,Emma,m
614,Eric,m
615,Evans,m
616,Gideon,m
617,Haywood,m
618,Hilliard,m
619,Hosea,m
620,Lincoln,m
621,Lonzo,m
622,Lucious,m
623,Lum,m
624,Malachi,m
625,Newt,m
626,Noel,m
627,Orie,m
628,Palmer,m
629,Pinkney,m
630,Shirley,m
631,Sumner,m
632,Terry,m
633,Urban,m
634,Uriah,m
635,Valentine,m
636,Waldo,m
637,Warner,m
638,Wong,m
639,Zeb,m
640,Abel,m
641,Alden,m
642,Archer,m
643,Avery,m
644,Carson,m
645,Cullen,m
646,Doc,m
647,Eben,m
648,Elige,m
649,Elizabeth,m
650,Elmore,m
651,Ernst,m
652,Finis,m
653,Freddie,m
654,Godfrey,m
655,Guss,m
656,Hamp,m
657,Hermann,m
658,Isadore,m
659,Isreal,m
660,Jones,m
661,June,m
662,Lacy,m
663,Lafe,m
664,Leland,m
665,Llewellyn,m
666,Ludwig,m
667,Manford,m
668,Maxwell,m
669,Minnie,m
670,Obie,m
671,Octave,m
672,Orrin,m
673,Ossie,m
674,Oswald,m
675,Park,m
676,Parley,m
677,Ramon,m
678,Rice,m
679,Stonewall,m
680,Theo,m
681,Tillman,m
682,Addie,m
683,Aron,m
684,Ashley,m
685,Bernhard,m
686,Bertie,m
687,Berton,m
688,Buster,m
689,Butler,m
690,Carleton,m
691,Carrie,m
692,Clara,m
693,Clarance,m
694,Clare,m
695,Crawford,m
696,Danial,m
697,Dayton,m
698,Dolphus,m
699,Elder,m
700,Ephriam,m
701,Fayette,m
702,Felipe,m
703,Fernando,m
704,Flem,m
705,Florence,m
706,Ford,m
707,Harlan,m
708,Hayes,m
709,Henery,m
710,Hoy,m
711,Huston,m
712,Ida,m
713,Ivory,m
714,Jonah,m
715,Justin,m
716,Lenard,m
717,Leopold,m
718,Lionel,m
719,Manley,m
720,Marquis,m
721,Marshal,m
722,Mart,m
723,Odie,m
724,Olen,m
725,Oral,m
726,Orley,m
727,Otha,m
728,Press,m
729,Price,m
730,Quincy,m
731,Randall,m
732,Rich,m
733,Richmond,m
734,Romeo,m
735,Russel,m
736,Rutherford,m
737,Shade,m
738,Shelby,m
739,Solon,m
740,Thurman,m
741,Tilden,m
742,Troy,m
743,Woodson,m
744,Worth,m
745,Aden,m
746,Alcide,m
747,Alf,m
748,Algie,m
749,Arlie,m
750,Bart,m
751,Bedford,m
752,Benito,m
753,Billy,m
754,Bird,m
755,Birt,m
756,Bruno,m
757,Burley,m
758,Chancy,m
759,Claus,m
760,Cliff,m
761,Clovis,m
762,Connie,m
763,Creed,m
764,Delos,m
765,Duke,m
766,Eber,m
767,Eligah,m
768,Elliot,m
769,Elton,m
770,Emmitt,m
771,Gene,m
772,Golden,m
773,Hal,m
774,Hardin,m
775,Harman,m
776,Hervey,m
777,Hollis,m
778,Ivey,m
779,Jennie,m
780,Len,m
781,Lindsay,m
782,Lonie,m
783,Lyle,m
784,Mac,m
785,Mal,m
786,Math,m
787,Miller,m
788,Orson,m
789,Osborne,m
790,Percival,m
791,Pleas,m
792,Ples,m
793,Rafael,m
794,Raoul,m
795,Roderick,m
796,Rose,m
797,Shelton,m
798,Sid,m
799,Theron,m
800,Tobias,m
801,Toney,m
802,Tyler,m
803,Vance,m
804,Vivian,m
805,Walton,m
806,Watt,m
807,Weaver,m
808,Wilton,m
809,Adolf,m
810,Albin,m
811,Albion,m
812,Allison,m
813,Alpha,m
814,Alpheus,m
815,Anastacio,m
816,Andre,m
817,Annie,m
818,Arlington,m
819,Armand,m
820,Asberry,m
821,Asbury,m
822,Asher,m
823,Augustin,m
824,Auther,m
825,Author,m
826,Ballard,m
827,Blas,m
828,Caesar,m
829,Candido,m
830,Cato,m
831,Clarke,m
832,Clemente,m
833,Colin,m
834,Commodore,m
835,Cora,m
836,Coy,m
837,Cruz,m
838,Curt,m
839,Damon,m
840,Davie,m
841,Delmar,m
842,Dexter,m
843,Dora,m
844,Doss,m
845,Drew,m
846,Edson,m
847,Elam,m
848,Elihu,m
849,Eliza,m
850,Elsie,m
851,Erie,m
852,Ernie,m
853,Ethel,m
854,Ferd,m
855,Friend,m
856,Garry,m
857,Gary,m
858,Grace,m
859,Gustaf,m
860,Hallie,m
861,Hampton,m
862,Harrie,m
863,Hattie,m
864,Hence,m
865,Hillard,m
866,Hollie,m
867,Holmes,m
868,Hope,m
869,Hyman,m
870,Ishmael,m
871,Jarrett,m
872,Jessee,m
873,Joeseph,m
874,Junious,m
875,Kirk,m
876,Levy,m
877,Mervin,m
878,Michel,m
879,Milford,m
880,Mitchel,m
881,Nellie,m
882,Noble,m
883,Obed,m
884,Oda,m
885,Orren,m
886,Ottis,m
887,Rafe,m
888,Redden,m
889,Reese,m
890,Rube,m
891,Ruby,m
892,Rupert,m
893,Salomon,m
894,Sammie,m
895,Sanders,m
896,Soloman,m
897,Stacy,m
898,Stanford,m
899,Stanton,m
900,Thad,m
901,Titus,m
902,Tracy,m
903,Vernie,m
904,Wendell,m
905,Wilhelm,m
906,Willian,m
907,Yee,m
908,Zeke,m
909,Ab,m
910,Abbott,m
911,Agustus,m
912,Albertus,m
913,Almer,m
914,Alphonso,m
915,Alvia,m
916,Artie,m
917,Arvid,m
918,Ashby,m
919,Augusta,m
920,Aurthur,m
921,Babe,m
922,Baldwin,m
923,Barnett,m
924,Bartholomew,m
925,Barton,m
926,Bernie,m
927,Blaine,m
928,Boston,m
929,Brad,m
930,Bradford,m
931,Bradley,m
932,Brooks,m
933,Buck,m
934,Budd,m
935,Ceylon,m
936,Chalmers,m
937,Chesley,m
938,Chin,m
939,Cleo,m
940,Crockett,m
941,Cyril,m
942,Daisy,m
943,Denver,m
944,Dow,m
945,Duff,m
946,Edie,m
947,Edith,m
948,Elick,m
949,Elie,m
950,Eliga,m
951,Eliseo,m
952,Elroy,m
953,Ely,m
954,Ennis,m
955,Enrique,m
956,Erasmus,m
957,Esau,m
958,Everette,m
959,Firman,m
960,Fleming,m
961,Flora,m
962,Gardner,m
963,Gee,m
964,Gorge,m
965,Gottlieb,m
966,Gregorio,m
967,Gregory,m
968,Gustavus,m
969,Halsey,m
970,Handy,m
971,Hardie,m
972,Harl,m
973,Hayden,m
974,Hays,m
975,Hermon,m
976,Hershel,m
977,Holly,m
978,Hosteen,m
979,Hoyt,m
980,Hudson,m
981,Huey,m
982,Humphrey,m
983,Hunt,m
984,Hyrum,m
985,Irven,m
986,Isam,m
987,Ivy,m
988,Jabez,m
989,Jewel,m
990,Jodie,m
991,Judd,m
992,Julious,m
993,Justice,m
994,Katherine,m
995,Kelly,m
996,Kit,m
997,Knute,m
998,Lavern,m
999,Lawyer,m
1000,Layton,m
1465,Brown,m
1479,Newell,m
1506,Carter,m
1550,Lucas,m
1558,Ransom,m
1565,Bee,m
1578,Meyer,m
1581,Paris,m
1605,Byrd,m
1610,Deforest,m
1613,Dolph,m
1623,Harper,m
1626,Jule,m
1627,Lambert,m
1630,Margaret,m
1634,Ocie,m
1636,Orange,m
1646,Reece,m
1647,Roe,m
1654,Ambers,m
1658,Bessie,m
1662,Collins,m
1665,Elbridge,m
1666,Eldon,m
1667,Elvis,m
1670,Gaston,m
1671,Guadalupe,m
1672,Hartwell,m
1677,Knox,m
1681,Lue,m
1682,Manning,m
1687,Ola,m
1689,Reed,m
1691,Sampson,m
1692,Samual,m
1698,Thos,m
1699,Todd,m
1700,Tommy,m
1701,Unknown,m
1704,Wirt,m
1706,Woodie,m
1710,Alice,m
1712,Alvis,m
1713,Ammon,m
1717,Boss,m
1719,Cas,m
1720,Cass,m
1721,Chalmer,m
1725,Denton,m
1731,Elsworth,m
1733,Erving,m
1737,Fredric,m
1738,Furman,m
1744,Helen,m
1762,Pearlie,m
1765,Plummer,m
1766,Presley,m
1770,Rollo,m
1771,Roswell,m
1772,Ruffus,m
1773,Sheldon,m
1776,Tilman,m
1780,York,m
1781,Acie,m
1783,Alfonso,m
1790,Ashton,m
1799,Burke,m
1800,Cap,m
1803,Casimiro,m
1804,Collie,m
1805,Curley,m
1806,Dale,m
1807,Dixon,m
1808,Dominick,m
1812,Garret,m
1815,Gerrit,m
1817,Griffin,m
1818,Hall,m
1819,Heber,m
1827,Hurley,m
1828,Isidore,m
1833,Lorenza,m
1835,Marian,m
1836,Maud,m
1837,Maude,m
1839,Murphy,m
1841,Obe,m
1843,Orla,m
1844,Orlo,m
1845,Orrie,m
1851,Sebastian,m
1853,Starling,m
1857,Tolbert,m
1864,Whit,m
1866,Adrien,m
1869,Alto,m
1870,Angelo,m
1872,Antone,m
1873,Arden,m
1875,Atticus,m
1880,Belton,m
1881,Bertha,m
1882,Blair,m
1883,Burrell,m
1886,Callie,m
1887,Campbell,m
1888,Champ,m
1893,Coley,m
1895,Conway,m
1896,Craig,m
1897,Dalton,m
1898,Darrell,m
1899,Darwin,m
1901,Dennie,m
1904,Ebb,m
1905,Ebbie,m
1907,Edna,m
1908,Ellison,m
1910,Elonzo,m
1911,Emit,m
1912,Emry,m
1913,Ephram,m
1914,Esequiel,m
1915,Essie,m
1916,Esta,m
1918,Evertt,m
1923,Garner,m
1924,Garnett,m
1926,Graham,m
1927,Gregg,m
1930,Halbert,m
1933,Harvie,m
1934,Harvy,m
1938,Hubbard,m
1941,Jared,m
1942,Jere,m
1943,Joesph,m
1944,Johnathan,m
1947,Juluis,m
1949,Kirby,m
1950,Kyle,m
1951,Lane,m
1952,Lawerence,m
1954,Less,m
1956,Linwood,m
1957,Louise,m
1958,Lowell,m
1959,Loy,m
1960,Lucy,m
1962,Manly,m
1963,Mannie,m
1964,Marcel,m
1965,Marius,m
1966,Marrion,m
1968,Mercer,m
1969,Monte,m
1970,Montgomery,m
1971,Nolan,m
1972,Okey,m
1974,Page,m
1975,Philo,m
1976,Primus,m
1977,Prosper,m
1978,Pryor,m
1979,Rene,m
1980,Robin,m
1981,Roll,m
1983,Seward,m
1984,Shannon,m
1985,Talmage,m
1987,Vaughn,m
1988,Verner,m
1989,Waverly,m
1991,Weldon,m
1992,Wells,m
1993,Wiliam,m
1995,Wing,m
1996,Wood,m
1997,Wright,m
1999,Add,m
2000,Adelard,m
2519,Cleve,m
2625,Linus,m
2629,Martha,m
2638,Reinhold,m
2674,Junior,m
2691,Ace,m
2701,Armstead,m
2707,Benedict,m
2709,Brice,m
2724,Gibson,m
2734,May,m
2738,Mills,m
2754,Adolfo,m
2755,Alanzo,m
2760,Antoine,m
2781,Ethan,m
2782,Eustace,m
2783,Ewing,m
2786,Fernand,m
2787,Fisher,m
2789,Gail,m
2792,Harland,m
2795,Hilary,m
2796,Hosie,m
2801,Lemon,m
2802,Lora,m
2807,Marsh,m
2812,Newman,m
2813,Nickolas,m
2814,Olie,m
2816,Pearley,m
2821,Roman,m
2822,Rome,m
2823,Rowland,m
2827,Shelly,m
2832,Vicente,m
2833,Weston,m
2838,Alan,m
2839,Alberto,m
2840,Alexis,m
2848,Auguste,m
2851,Bascom,m
2854,Cameron,m
2855,Camille,m
2858,Clabe,m
2860,Cooper,m
2866,Domingo,m
2870,Elwin,m
2871,Emilio,m
2875,French,m
2878,Gerhard,m
2881,Hansford,m
2893,Jarvis,m
2894,Jobe,m
2896,Josephus,m
2898,Landon,m
2901,Lennie,m
2902,Leonidas,m
2903,Lesley,m
2904,Lillian,m
2905,Linn,m
2906,Littleton,m
2907,Lone,m
2910,Margarito,m
2911,Mattie,m
2913,Melton,m
2919,Ott,m
2923,Randle,m
2930,Seaborn,m
2931,Severt,m
2932,Steward,m
2933,Sylvanus,m
2934,Theadore,m
2935,Theophile,m
2938,Vester,m
2939,Wenzel,m
2945,Alby,m
2946,Alcee,m
2948,Almond,m
2949,Alvy,m
2950,Amon,m
2951,Ansel,m
2953,Bayard,m
2954,Benny,m
2956,Bluford,m
2957,Booker,m
2960,Burnett,m
2961,Burney,m
2963,Caswell,m
2964,Claudie,m
2966,Conley,m
2967,Cortez,m
2970,Dionicio,m
2972,Donnie,m
2976,Eldred,m
2977,Ell,m
2978,Ellery,m
2979,Ellwood,m
2980,Elva,m
2981,Emmit,m
2985,Erle,m
2986,Essex,m
2987,Ewell,m
2988,Ewin,m
2989,Fabian,m
2991,Florencio,m
2992,Fremont,m
2993,Gaines,m
2994,Garnet,m
2995,Gaylord,m
2996,German,m
2997,Greene,m
3688,Brady,m
3695,Festus,m
3700,Jewell,m
3706,Odell,m
3714,Rosco,m
3729,Bernice,m
3736,Chauncy,m
3740,Delmer,m
3745,Effie,m
3747,Ellie,m
3765,Jimmy,m
3767,Lars,m
3775,Milas,m
3777,Miner,m
3788,Rogers,m
3790,Sarah,m
3797,Wess,m
3798,Woody,m
3812,Bryan,m
3822,Douglass,m
3838,Hilton,m
3842,Irvine,m
3843,Isidor,m
3845,Jeptha,m
3852,Mabel,m
3853,Malcom,m
3857,Mell,m
3862,Olof,m
3867,Robt,m
3868,Ronald,m
3871,Simpson,m
3872,Spurgeon,m
3874,Tandy,m
3876,Thurlow,m
3879,Toy,m
3887,Winston,m
3891,Zeno,m
3895,Alphonsus,m
3896,Alvan,m
3897,Amado,m
3898,Ananias,m
3899,Ancel,m
3901,Atlas,m
3902,Banks,m
3903,Barry,m
3909,Blake,m
3910,Blanchard,m
3912,Bose,m
3915,Captain,m
3917,Ceasar,m
3919,Chance,m
3920,Chancey,m
3922,Charle,m
3923,Clide,m
3931,Dink,m
3937,Ella,m
3940,Emett,m
3943,Erick,m
3945,Estill,m
3948,Fenton,m
3949,Gale,m
3951,Gay,m
3956,Grove,m
3957,Hanson,m
3959,Harlie,m
3960,Harlow,m
3961,Haskell,m
3967,Ingram,m
3968,Iva,m
3969,Jep,m
3972,Joy,m
3979,Lessie,m
3980,Lillie,m
3981,Linton,m
3982,Linzy,m
3983,Little,m
3984,Loney,m
3986,Loring,m
3987,Lovie,m
3989,Lute,m
3991,Mace,m
3997,Matthias,m
3999,Meredith,m
4667,Benjamen,m
4680,Jens,m
4689,Oakley,m
4700,Whitney,m
4714,Donaciano,m
4722,Hayward,m
4734,Loran,m
4735,Love,m
4748,Son,m
4754,Tollie,m
4757,Vollie,m
4780,Bonnie,m
4784,Catherine,m
4792,Ebenezer,m
4801,Ewald,m
4810,Herb,m
4818,Julia,m
4836,Silvester,m
4837,Stafford,m
4838,Sullivan,m
4841,Thurston,m
4843,Wayman,m
4845,Wes,m
4846,Winnie,m
4868,Burrel,m
4875,Cleon,m
4882,Dozier,m
4886,Elden,m
4896,Fulton,m
4902,Helmer,m
4903,Hill,m
4905,Hjalmer,m
4909,Ignatz,m
4919,Kelley,m
4928,Marlin,m
4932,Moody,m
4933,Myrtle,m
4934,Namon,m
4938,Odin,m
4939,Odis,m
4940,Oley,m
4944,Osborn,m
4945,Osie,m
4950,Prentice,m
4951,Purl,m
4953,Roby,m
4956,Shep,m
4957,Simmie,m
4959,Stanislaus,m
4965,Vander,m
4970,Zollie,m
4971,Abb,m
4974,Ah,m
4975,Aleck,m
4982,Beecher,m
4986,Blain,m
4989,Bowman,m
4990,Bunk,m
4991,Burgess,m
4994,Carol,m
4997,Charly,m
4999,Clell,m
5000,Cody,m
5513,Lamar,m
5639,Worley,m
5646,Arley,m
5681,Nicolas,m
5690,Terence,m
5711,Claire,m
5720,Earley,m
5723,Elzy,m
5726,Fielding,m
5729,Gertrude,m
5746,Nora,m
5747,Norton,m
5777,Clemens,m
5783,Earlie,m
5785,Ellen,m
5788,Epifanio,m
5797,Glover,m
5806,Lark,m
5807,Laurance,m
5808,Leigh,m
5846,Braxton,m
5851,Cleave,m
5854,Colon,m
5855,Constantine,m
5860,Dominic,m
5867,Emiliano,m
5869,Fleet,m
5871,Franklyn,m
5876,Hobart,m
5881,Josephine,m
5885,Laverne,m
5886,Lillard,m
5888,Lim,m
5898,Merlin,m
5899,Milan,m
5904,Nim,m
5905,Norbert,m
5906,North,m
5908,Orland,m
5911,Orvis,m
5918,Reason,m
5920,Rob,m
5930,Virge,m
5934,Zenas,m
5936,Ada,m
5940,Alejandro,m
5946,Atha,m
5947,Audie,m
5953,Boyce,m
5955,Brent,m
5956,Burdette,m
5960,Cash,m
5962,Chase,m
5966,Clive,m
5970,Courtney,m
5971,Cris,m
5972,Dawson,m
5977,Drury,m
5978,Duane,m
5981,Elon,m
5984,Estevan,m
5988,Fitzhugh,m
5989,Fount,m
5998,Gray,m
6644,Terrence,m
6651,Bartley,m
6687,Shedrick,m
6783,Dixie,m
6806,Ignacio,m
6815,Merl,m
6818,Nehemiah,m
6821,Norwood,m
6830,Raphael,m
6832,Reno,m
6833,Rudy,m
6834,Rueben,m
6838,Sylvan,m
6841,Virgle,m
6858,Charls,m
6860,Cole,m
6875,Elby,m
6884,Ferman,m
6885,Fern,m
6887,Florian,m
6889,Fuller,m
6893,Gorden,m
6894,Gussie,m
6895,Ham,m
6897,Hazel,m
6901,Ignatius,m
6903,Joaquin,m
6909,Lacey,m
6911,Laurie,m
6913,Lilburn,m
6919,Lovell,m
6920,Lovett,m
6923,Malvin,m
6925,Manson,m
6938,Pratt,m
6940,Reid,m
6947,Ruffin,m
6954,Tomie,m
6955,Vince,m
6957,Wayland,m
6959,Acey,m
6964,Alger,m
6965,Algernon,m
6970,Amasa,m
6971,Amil,m
6976,Barrett,m
6983,Britt,m
6987,Burns,m
6988,Calhoun,m
6992,Christy,m
6994,Cletus,m
6995,Colbert,m
6997,Courtland,m
